"Variable","Measure","Country","Year","Value"
"All causes of death","Number of total deaths","Norway",2002,44401
"All causes of death","Number of total deaths","Norway",2003,42550
"All causes of death","Number of total deaths","Norway",2004,41257
"All causes of death","Number of total deaths","Norway",2005,41152
"All causes of death","Number of total deaths","Norway",2006,41242
"All causes of death","Number of total deaths","Norway",2007,41963
"All causes of death","Number of total deaths","Norway",2008,41716
"All causes of death","Number of total deaths","Norway",2009,41342
"All causes of death","Number of total deaths","Norway",2010,41442
"All causes of death","Number of total deaths","Norway",2011,41304
"All causes of death","Number of total deaths","Norway",2012,41913
"All causes of death","Number of total deaths","Norway",2013,41178
"All causes of death","Number of total deaths","Norway",2014,40344
"All causes of death","Number of total deaths","Poland",2000,368028
"All causes of death","Number of total deaths","Poland",2001,363220
"All causes of death","Number of total deaths","Poland",2002,359486
"All causes of death","Number of total deaths","Poland",2003,365230
"All causes of death","Number of total deaths","Poland",2004,363522
"All causes of death","Number of total deaths","Poland",2005,368285
"All causes of death","Number of total deaths","Poland",2006,369686
"All causes of death","Number of total deaths","Poland",2007,377226
"All causes of death","Number of total deaths","Poland",2008,379399
"All causes of death","Number of total deaths","Poland",2009,384940
"All causes of death","Number of total deaths","Poland",2010,378478
"All causes of death","Number of total deaths","Poland",2011,375501
"All causes of death","Number of total deaths","Poland",2012,384788
"All causes of death","Number of total deaths","Poland",2013,387312
"All causes of death","Number of total deaths","Poland",2014,376467
"All causes of death","Number of total deaths","Portugal",2000,105813
"All causes of death","Number of total deaths","Portugal",2001,105582
"All causes of death","Number of total deaths","Portugal",2002,106690
"All causes of death","Number of total deaths","Portugal",2003,109148
"All causes of death","Number of total deaths","Portugal",2007,103888
"All causes of death","Number of total deaths","Portugal",2008,104768
"All causes of death","Number of total deaths","Portugal",2009,104964
"All causes of death","Number of total deaths","Portugal",2010,106241
"All causes of death","Number of total deaths","Portugal",2011,103200
"All causes of death","Number of total deaths","Portugal",2012,107969
"All causes of death","Number of total deaths","Portugal",2013,106875
"All causes of death","Number of total deaths","Portugal",2014,105219
"All causes of death","Number of total deaths","Slovak Republic",2000,52724
"All causes of death","Number of total deaths","Slovak Republic",2001,51980
"All causes of death","Number of total deaths","Slovak Republic",2002,51532
"All causes of death","Number of total deaths","Slovak Republic",2003,52230
"All causes of death","Number of total deaths","Slovak Republic",2004,51852
"All causes of death","Number of total deaths","Slovak Republic",2005,53475
"All causes of death","Number of total deaths","Slovak Republic",2006,53301
"All causes of death","Number of total deaths","Slovak Republic",2007,53856
"All causes of death","Number of total deaths","Slovak Republic",2008,53164
"All causes of death","Number of total deaths","Slovak Republic",2009,52913
"All causes of death","Number of total deaths","Slovak Republic",2010,53445
"All causes of death","Number of total deaths","Slovak Republic",2012,52437
"All causes of death","Number of total deaths","Slovak Republic",2013,52084
"All causes of death","Number of total deaths","Slovak Republic",2014,51345
"All causes of death","Number of total deaths","Spain",2000,360391
"All causes of death","Number of total deaths","Spain",2001,360131
"All causes of death","Number of total deaths","Spain",2002,368618
"All causes of death","Number of total deaths","Spain",2003,384828
"All causes of death","Number of total deaths","Spain",2004,371934
"All causes of death","Number of total deaths","Spain",2005,387355
"All causes of death","Number of total deaths","Spain",2006,371478
"All causes of death","Number of total deaths","Spain",2007,385361
"All causes of death","Number of total deaths","Spain",2008,386324
"All causes of death","Number of total deaths","Spain",2009,384933
"All causes of death","Number of total deaths","Spain",2010,382047
"All causes of death","Number of total deaths","Spain",2011,387911
"All causes of death","Number of total deaths","Spain",2012,402950
"All causes of death","Number of total deaths","Spain",2013,390419
"All causes of death","Number of total deaths","Spain",2014,395830
"All causes of death","Number of total deaths","Sweden",2000,93516
"All causes of death","Number of total deaths","Sweden",2001,93808
"All causes of death","Number of total deaths","Sweden",2002,95071
"All causes of death","Number of total deaths","Sweden",2003,93003
"All causes of death","Number of total deaths","Sweden",2004,91079
"All causes of death","Number of total deaths","Sweden",2005,91775
"All causes of death","Number of total deaths","Sweden",2006,91271
"All causes of death","Number of total deaths","Sweden",2007,91820
"All causes of death","Number of total deaths","Sweden",2008,91542
"All causes of death","Number of total deaths","Sweden",2009,90177
"All causes of death","Number of total deaths","Sweden",2010,90519
"All causes of death","Number of total deaths","Sweden",2011,89941
"All causes of death","Number of total deaths","Sweden",2012,91990
"All causes of death","Number of total deaths","Sweden",2013,90505
"All causes of death","Number of total deaths","Sweden",2014,89062
"All causes of death","Number of total deaths","Sweden",2015,91002
"All causes of death","Number of total deaths","Switzerland",2000,62545
"All causes of death","Number of total deaths","Switzerland",2001,61283
"All causes of death","Number of total deaths","Switzerland",2002,61768
"All causes of death","Number of total deaths","Switzerland",2003,63070
"All causes of death","Number of total deaths","Switzerland",2004,60180
"All causes of death","Number of total deaths","Switzerland",2005,61124
"All causes of death","Number of total deaths","Switzerland",2006,60283
"All causes of death","Number of total deaths","Switzerland",2007,61089
"All causes of death","Number of total deaths","Switzerland",2008,61233
"All causes of death","Number of total deaths","Switzerland",2009,62431
"All causes of death","Number of total deaths","Switzerland",2010,62649
"All causes of death","Number of total deaths","Switzerland",2011,62089
"All causes of death","Number of total deaths","Switzerland",2012,64173
"All causes of death","Number of total deaths","Switzerland",2013,64961
"All causes of death","Number of total deaths","Turkey",2009,281504
"All causes of death","Number of total deaths","Turkey",2010,294501
"All causes of death","Number of total deaths","Turkey",2011,312249
"All causes of death","Number of total deaths","Turkey",2012,320967
"All causes of death","Number of total deaths","Turkey",2013,357533
"All causes of death","Number of total deaths","United Kingdom",2001,604393
"All causes of death","Number of total deaths","United Kingdom",2002,608045
"All causes of death","Number of total deaths","United Kingdom",2003,612085
"All causes of death","Number of total deaths","United Kingdom",2004,584791
"All causes of death","Number of total deaths","United Kingdom",2005,582964
"All causes of death","Number of total deaths","United Kingdom",2006,572224
"All causes of death","Number of total deaths","United Kingdom",2007,574687
"All causes of death","Number of total deaths","United Kingdom",2008,579697
"All causes of death","Number of total deaths","United Kingdom",2009,559617
"All causes of death","Number of total deaths","United Kingdom",2010,561666
"All causes of death","Number of total deaths","United Kingdom",2011,552232
"All causes of death","Number of total deaths","United Kingdom",2012,569024
"All causes of death","Number of total deaths","United Kingdom",2013,576458
"All causes of death","Number of total deaths","United States",2000,2403351
"All causes of death","Number of total deaths","United States",2001,2416425
"All causes of death","Number of total deaths","United States",2002,2443387
"All causes of death","Number of total deaths","United States",2003,2448288
"All causes of death","Number of total deaths","United States",2004,2397615
"All causes of death","Number of total deaths","United States",2005,2448017
"All causes of death","Number of total deaths","United States",2006,2426299
"All causes of death","Number of total deaths","United States",2007,2423895
"All causes of death","Number of total deaths","United States",2008,2471984
"All causes of death","Number of total deaths","United States",2009,2437942
"All causes of death","Number of total deaths","United States",2010,2469288
"All causes of death","Number of total deaths","United States",2011,2515458
"All causes of death","Number of total deaths","United States",2012,2543279
"All causes of death","Number of total deaths","United States",2013,2596993
"All causes of death","Number of total deaths","United States",2014,2626418
"All causes of death","Number of total deaths","Brazil",2000,945439
"All causes of death","Number of total deaths","Brazil",2001,960735
"All causes of death","Number of total deaths","Brazil",2002,982126
"All causes of death","Number of total deaths","Brazil",2003,1001497
"All causes of death","Number of total deaths","Brazil",2004,1023372
"All causes of death","Number of total deaths","Brazil",2005,1006375
"All causes of death","Number of total deaths","Brazil",2006,1031220
"All causes of death","Number of total deaths","Brazil",2007,1047309
"All causes of death","Number of total deaths","Brazil",2008,1074686
"All causes of death","Number of total deaths","Brazil",2009,1102614
"All causes of death","Number of total deaths","Brazil",2010,1136514
"All causes of death","Number of total deaths","Brazil",2011,1169966
"All causes of death","Number of total deaths","Brazil",2012,1180628
"All causes of death","Number of total deaths","Brazil",2013,1209863
"All causes of death","Number of total deaths","Brazil",2014,1226284
"All causes of death","Number of total deaths","Chile",2000,78814
"All causes of death","Number of total deaths","Chile",2001,81871
"All causes of death","Number of total deaths","Chile",2002,81079
"All causes of death","Number of total deaths","Chile",2003,83672
"All causes of death","Number of total deaths","Chile",2004,86138
"All causes of death","Number of total deaths","Chile",2005,86102
"All causes of death","Number of total deaths","Chile",2006,85639
"All causes of death","Number of total deaths","Chile",2007,89558
"All causes of death","Number of total deaths","Chile",2008,86783
"All causes of death","Number of total deaths","Chile",2009,91965
"All causes of death","Number of total deaths","Chile",2010,97930
"All causes of death","Number of total deaths","Chile",2011,94985
"All causes of death","Number of total deaths","Chile",2012,98711
"All causes of death","Number of total deaths","Chile",2013,99751
"All causes of death","Number of total deaths","Chile",2014,101943
"All causes of death","Number of total deaths","Estonia",2000,18403
"All causes of death","Number of total deaths","Estonia",2001,18516
"All causes of death","Number of total deaths","Estonia",2002,18355
"All causes of death","Number of total deaths","Estonia",2003,18152
"All causes of death","Number of total deaths","Estonia",2004,17685
"All causes of death","Number of total deaths","Estonia",2005,17316
"All causes of death","Number of total deaths","Estonia",2006,17316
"All causes of death","Number of total deaths","Estonia",2007,17409
"All causes of death","Number of total deaths","Estonia",2008,16675
"All causes of death","Number of total deaths","Estonia",2009,16099
"All causes of death","Number of total deaths","Estonia",2010,15781
"All causes of death","Number of total deaths","Estonia",2011,15204
"All causes of death","Number of total deaths","Estonia",2012,15473
"All causes of death","Number of total deaths","Estonia",2013,15374
"All causes of death","Number of total deaths","Estonia",2014,15470
"All causes of death","Number of total deaths","Israel",2000,37688
"All causes of death","Number of total deaths","Israel",2001,37187
"All causes of death","Number of total deaths","Israel",2002,38301
"All causes of death","Number of total deaths","Israel",2003,38359
"All causes of death","Number of total deaths","Israel",2004,37757
"All causes of death","Number of total deaths","Israel",2005,38897
"All causes of death","Number of total deaths","Israel",2006,38564
"All causes of death","Number of total deaths","Israel",2007,39948
"All causes of death","Number of total deaths","Israel",2008,39241
"All causes of death","Number of total deaths","Israel",2009,38595
"All causes of death","Number of total deaths","Israel",2010,39418
"All causes of death","Number of total deaths","Israel",2011,40668
"All causes of death","Number of total deaths","Israel",2012,41877
"All causes of death","Number of total deaths","Israel",2013,41479
"All causes of death","Number of total deaths","Israel",2014,42170
"All causes of death","Number of total deaths","Russia",2000,2225332
"All causes of death","Number of total deaths","Russia",2001,2254856
"All causes of death","Number of total deaths","Russia",2002,2332272
"All causes of death","Number of total deaths","Russia",2003,2358632
"All causes of death","Number of total deaths","Russia",2004,2295402
"All causes of death","Number of total deaths","Russia",2005,2303935
"All causes of death","Number of total deaths","Russia",2006,2166703
"All causes of death","Number of total deaths","Russia",2007,2080445
"All causes of death","Number of total deaths","Russia",2008,2075954
"All causes of death","Number of total deaths","Russia",2009,2010543
"All causes of death","Number of total deaths","Russia",2010,2028516
"All causes of death","Number of total deaths","Russia",2011,1925720
"All causes of death","Number of total deaths","Slovenia",2000,18588
"All causes of death","Number of total deaths","Slovenia",2001,18508
"All causes of death","Number of total deaths","Slovenia",2002,18701
"All causes of death","Number of total deaths","Slovenia",2003,19451
"All causes of death","Number of total deaths","Slovenia",2004,18523
"All causes of death","Number of total deaths","Slovenia",2005,18825
"All causes of death","Number of total deaths","Slovenia",2006,18180
"All causes of death","Number of total deaths","Slovenia",2007,18584
"All causes of death","Number of total deaths","Slovenia",2008,18308
"All causes of death","Number of total deaths","Slovenia",2009,18750
"All causes of death","Number of total deaths","Slovenia",2010,18609
"All causes of death","Number of total deaths","Slovenia",2011,18699
"All causes of death","Number of total deaths","Slovenia",2012,19257
"All causes of death","Number of total deaths","Slovenia",2013,19334
"All causes of death","Number of total deaths","Slovenia",2014,18886
"All causes of death","Number of total deaths","Slovenia",2015,19834
"All causes of death","Number of total deaths","South Africa",2000,412060
"All causes of death","Number of total deaths","South Africa",2001,451279
"All causes of death","Number of total deaths","South Africa",2002,497577
"All causes of death","Number of total deaths","South Africa",2003,550903
"All causes of death","Number of total deaths","South Africa",2004,565953
"All causes of death","Number of total deaths","South Africa",2005,589534
"All causes of death","Number of total deaths","South Africa",2006,605480
"All causes of death","Number of total deaths","South Africa",2007,600155
"All causes of death","Number of total deaths","South Africa",2008,591285
"All causes of death","Number of total deaths","South Africa",2009,571620
"All causes of death","Number of total deaths","South Africa",2010,542785
"All causes of death","Number of total deaths","South Africa",2011,512378
"All causes of death","Number of total deaths","South Africa",2012,488968
"All causes of death","Number of total deaths","South Africa",2013,456935
"All causes of death","Number of total deaths","South Africa",2014,451439
"All causes of death","Number of total deaths","Latvia",2000,32205
"All causes of death","Number of total deaths","Latvia",2001,32991
"All causes of death","Number of total deaths","Latvia",2002,32498
"All causes of death","Number of total deaths","Latvia",2003,32437
"All causes of death","Number of total deaths","Latvia",2004,32041
"All causes of death","Number of total deaths","Latvia",2005,32777
"All causes of death","Number of total deaths","Latvia",2006,33115
"All causes of death","Number of total deaths","Latvia",2007,33056
